詞性 (Part of Speech),單字 (Word),中文解釋 (Meaning),生動例句 (Vivid & Engaging Sentence)
Noun,wheel,輪子,The wheel on my wagon goes round fast.
=== 56. 其他形容詞 ===,,,
Adjective,amazing,驚人的,The amazing trick made everyone clap and cheer.
Adjective,asleep,睡著的,The baby is fast asleep in the crib.
Adjective,awake,醒著的,I try to stay awake but my eyelids close.
Adjective,awful,可怕的,The medicine tastes awful but helps me heal.
Adjective,best,最好的,You are my best friend in school.
Adjective,clear,清澈的/清楚的,"The clear water is so clean, I can see fish."
Adjective,favorite,最喜歡的,My favorite color is bright rainbow yellow today.
Adjective,fine,好的/美好的,The weather is fine and sunny today.
Adjective,free,自由的/免費的,The bird is free to fly high.
Adjective,great,很棒的,You did a great job on your drawing.
Adjective,horrible,可怕的,The horrible nightmare woke me up last night.
Adjective,imaginary,想像的,My imaginary dragon flies me to school morning clouds!
Adjective,other,另外的,"When one path is blocked, try the other path."
Adjective,own,自己的,I have my own room at home.
Adjective,perfect,完美的,This day is perfect for flying my kite.
Adjective,sure,確定的,I am sure that the sky is blue and grass is green.
Adjective,terrible,糟糕的,The storm was terrible with loud thunder booming.
Adjective,wonderful,精彩的,We had a wonderful time at the fair.
Adjective,wonderful,很棒的,What a wonderful day to play outside now.
=== 57. 其他副詞 ===,,,
Adverb,almost,幾乎,I almost caught the bubble before it floated away!
Adverb,anywhere,任何地方,My imagination can take me anywhere I want.
Adverb,away,離開/遠離,The bird flies away to the tree.
Adverb,even,甚至,Even the grumpy cat smiled at me.
Adverb,everywhere,每個地方,I see hearts and smiley faces everywhere.
Adverb,just,剛好/只是,I just saw a shooting star fly.
Adverb,maybe,也許,Maybe the moon is made of cheese after all.
Adverb,not,不,The monster under my bed is not scary.
Adverb,nowhere,任何地方都沒有,The end of the rainbow is nowhere.
Adverb,only,只有/僅僅,I'm the only one who knows this.
Adverb,perhaps,或許,Perhaps that cloud is a sleeping giant's pillow.
Adverb,quite,相當,The dragon's tail is quite long—it wraps around mountains.
Adverb,really,真的,I really believe in magic because I see it everywhere.
Adverb,somewhere,某處,Somewhere a rainbow is waiting to be found.
Adverb,surely,肯定地,Surely tomorrow will bring another wonderful adventure.
Adverb,together,一起,We play together at the park today.
Adverb,well,好/健康地,I sleep well and wake up happy.
=== 58. 動詞變化形 ===,,,
Verb,ate,吃 (過去式),I ate all my vegetables at dinner.
Verb,came,來 (過去式),My friend came to my house yesterday.
Verb,fell,跌倒 (過去式),I fell down but got right up.
Verb,found,找到 (過去式),I found my lost toy under the bed.
Verb,gave,給 (過去式),She gave me a flower from the garden.
Verb,got,得到 (過去式),I got a new book from the library.
Verb,grew,成長 (過去式),My plant grew tall in the sun.
Verb,heard,聽到 (過去式),I heard a bird singing this morning.
Verb,held,握住 (過去式),I held my mom's hand tight today.
Verb,kept,保持 (過去式),I kept my room clean all week.
Verb,knew,知道 (過去式),I knew the answer to the question.
Verb,made,製作 (過去式),I made a card for my mom.
Verb,ran,跑 (過去式),I ran to catch the bouncing ball.
Verb,said,說 (過去式),She said hello to me this morning.
Verb,sang,唱 (過去式),We sang songs together at school today.
Verb,sat,坐 (過去式),I sat on the bench to rest.
Verb,saw,看見 (過去式),I saw a rainbow after the rain.
Verb,told,告訴 (過去式),Mom told me a story at bedtime.
Verb,took,拿 (過去式),I took my book to school today.
Verb,went,去 (過去式),We went to the zoo last week.
Verb,woke,醒來 (過去式),I woke up when the sun rose.
=== 59. 其他 ===,,,
Preposition,about,關於,Tell me everything about the world we see.
Verb,agree,同意,I agree that ice cream is the best.
Noun,bench,長凳,We sit on the park bench and eat snacks.
Verb,blow,吹,I blow bubbles that float up to the clouds.
Noun,bubble,泡泡,I chase bubbles that shimmer in the light.
Verb,bump,撞到,I bump my head on the low door.
Preposition,by,在...旁邊/被,I sit by my friend at lunch.
Verb Phrase,come back,回來,Balls always come back just like true friends do.
Noun,conversation,對話,We have a nice conversation at dinner time.
Verb,crash,碰撞,The toy cars crash into each other loud.
Noun,danger,危險,We stay away from danger to be safe.
Verb,disagree,不同意,It's okay to disagree and have different ideas.
Adverb,ever,曾經,Have you ever wished upon a star?
Adjective,final,最後的,The final page has a happy ending here.
Adjective,following,接下來的,The following day we went to the park.
Preposition,for,為了/給,This card is for you my friend.
Verb Phrase,get up,起床,Get up! A brand new fun is waiting now!
Verb Phrase,go away,走開,Worries go away when you blow them like seeds.
Verb Phrase,go to bed,睡覺,Going to bed means visiting dreamland on your pillow.
Verb,goes,去 (第三人稱),The dog goes to the park daily.
Verb,going,正在去/將要,I am going to school right now.
Noun,invention,發明,The wheel was an important useful invention long ago.
Noun,language,語言,English is a fun language to learn well.
Noun,leader,領導者,A good leader helps everyone work together well.
Noun,meadow,草地,Wildflowers bloom in the sunny peaceful meadow here.
Noun,mile,英里,We walk one mile to the store.
Preposition,of,屬於/關於,This is a picture of my family.
Interjection,oh,哦,Oh! I forgot to bring my book.
Noun,opinion,意見,Everyone's opinion matters and should be heard here.
Noun,paintbrush,畫筆,My paintbrush makes colorful strokes on the paper.
Noun,plan,計畫,Our plan is to go to the park.
Noun,playtime,玩樂時間,Playtime is when the clock stops and imagination takes over!
Adjective,poor,可憐的/貧窮的,The poor puppy needs a warm home.
Noun,prairie,草原,Buffalo once roamed the wide open prairie lands.
Verb,press,按,Press the red button to start the game.
Adjective,previous,之前的,On the previous page there was a dragon.
Verb,repeat,重複,Can you repeat what you just said please?
Verb,resume,恢復,We resume playing after we finish eating snacks.
Adjective,round,圓的,The ball is round like the moon.
Noun,row,排/列,We sit in a row at the movie.
Verb Phrase,run away,跑走,My shadow tries to run away but I'm faster!
Noun,sense,感覺/意識,My sixth sense tells me something good soon.
Noun,soap,肥皂,The soap smells like fresh strawberries today.
Adjective,strong,強壯的,The strong man can lift heavy things.
Verb,thank,感謝,I thank you for being my friend.
Adjective,total,總共的,The total number of wishes is many.
Noun,towel,毛巾,I dry off with my soft blue towel.
Verb Phrase,try to,嘗試去,"When you try to do something difficult, you get stronger!"
Verb Phrase,turn off,關閉 (電器),I turn off the light at bedtime.
Verb Phrase,turn on,打開 (電器),Turn on the lamp when it's dark.
Preposition,upon,在...之上,The book sits upon the table top.
Noun,wife,妻子,The man and his wife go shopping.
Preposition,with,和...一起,I play with my little sister today.
Preposition,without,沒有,Without socks my feet feel cold outside.
Contraction,won't,將不會,I will not give up trying my best.
=== 6. 動物與昆蟲 ===,,,
Noun,animal,動物,My favorite animal is the fluffy panda.
Noun,bear,熊,A bear naps under the big pine.
Noun,bee,蜜蜂,The bee buzzes by my ear loudly.
Noun,bird,鳥,A little bird sings on the tree.
Noun,bug,蟲子,A tiny bug rides on a leaf.
Noun,butterfly,蝴蝶,The butterfly lands on my nose so softly.
Noun,cat,貓,The cat naps on my soft lap.
Noun,chicken,雞/小雞,Chickens walk like tiny dinosaurs because they are.
Noun,cow,牛,Cows are walking milk makers with spots like maps.
Noun,dog,狗,My dog runs fast in the park.
Noun,duck,鴨子,A duck waddles to the pond slowly.
Noun,feather,羽毛,A light feather floats down from the sky.
Noun,fish,魚,The fish swims past shiny stones.
Noun,fox,狐狸,A fox runs through the tall trees.
Noun,frog,青蛙,The frog jumps from the wet rock.
Noun,fur,毛皮,The rabbit has white fluffy soft fur outside.
Noun,horn,角,The unicorn has a magical golden horn shining.
Noun,horse,馬,The horse trots with a shiny mane.
Noun,insect,昆蟲,Insects are tiny robots that nature designed well.
Noun,ladybug,瓢蟲,A red ladybug with black spots crawls slowly.
Noun,lion,獅子,The lion rests in the cool shade.
Noun,mouse,老鼠,A mouse nibbles a cheese cube fast.
Noun,paw,爪子,The cat's soft paw touches my hand gently.
Noun,pet,寵物,My pet teaches me about loyalty without words.
Noun,pig,豬,A pig rolls in the cool mud.
Noun,rabbit,兔子,Rabbits hop through life like they're on pogo sticks.
Noun,sheep,綿羊,A sheep says baa on the green hill.
Noun,snake,蛇,A snake slides across the warm sand.
Noun,spider,蜘蛛,Spiders are architects building bridges made of silk.
Noun,tail,尾巴,The puppy wags its tail when we play.
Noun,tiger,老虎,The tiger prowls behind the tall grass.
Noun,wing,翅膀,The bird spreads its wings to fly away.
Noun,wolf,狼,A wolf howls at the full moon.
Noun,worm,蟲,Worms are underground gardeners making soil rich and good.
=== 7. 食物與飲料 ===,,,
Noun,apple,蘋果,I eat a red apple very slowly.
Verb,bake,烘焙,We bake cookies that smell amazing and sweet.
Noun,banana,香蕉,The banana looks like a yellow smile.
Noun,bread,麵包,Warm bread fresh from the oven smells like hug.
Noun,breakfast,早餐,Breakfast gives me energy to start the day.
Noun,cake,蛋糕,The birthday cake has seven candles on top.
Noun,candy,糖果,This sweet candy makes my tongue turn purple.
Noun,cheese,乳酪,The yellow cheese has tiny holes like a moon.
Verb,cook,烹飪,Mom teaches me how to cook simple food.
Noun,cookie,餅乾,I share my chocolate cookie with my friend.
Noun,dinner,晚餐,We eat dinner together as a family.
Verb,drink,喝,I drink warm soup on rainy days.
Verb,eat,吃,I eat noodles with a big smile.
Noun,egg,蛋,Cracking an egg is like opening a surprise package.
Noun,food,食物,Tasty food helps me grow and play hard.
Noun,juice,果汁,I drink cold orange juice in the morning.
Noun,lunch,午餐,Lunch time is when we eat and rest.
Noun,meat,肉,The sizzling meat smells so good that the dog wags its tail!
Noun,milk,牛奶,Milk makes my bones grow strong and tall.
Noun,rice,米飯,White rice goes well with my favorite food.
Noun,salt,鹽,A sprinkle of salt is like ocean magic that makes food better.
Noun,snack,點心,I eat a healthy snack after school ends.
Noun,soup,湯,Hot chicken soup warms my tummy when I'm cold.
Noun,sugar,糖,Sugar crystals sparkle like tiny diamonds that make things sweet.
Noun,tea,茶,Grandma makes warm tea with honey for me.
Noun,water,水,Cold water splashes on my happy hands.
Noun,sandwich,三明治,I eat a yummy sandwich at lunch.
Noun,pizza,披薩,The pizza is hot and tasty.
Noun,noodles,麵條,I slurp long noodles with a smile.
Noun,chocolate,巧克力,Chocolate melts on my tongue like magic.
Noun,honey,蜂蜜,Bees make sweet honey for our toast.
Noun,yogurt,優格,I mix fruit into my yogurt cup.
Noun,cereal,穀片,I pour milk on my crunchy cereal.
Noun,ice cream,冰淇淋,Ice cream drips on my happy chin.
Noun,fruit,水果,Fruit gives me bright energy to play.
Noun,vegetable,蔬菜,I eat vegetables to grow strong and tall.
=== 8. 餐具與廚房 ===,,,
Noun,bottle,瓶子,The water bottle keeps my drink cold all day.
Noun,bowl,碗,I eat cereal from my favorite blue bowl.
Verb,chop,切,Dad chops vegetables for our yummy dinner tonight.
Noun,cup,杯子,My cup has a blue star on it.
Noun,fork,叉子,My fork pokes yummy soft noodles.
Noun,freezer,冷凍庫,Ice cream stays frozen in the cold freezer.
Noun,jar,罐子,The glass jar is full of colorful candy.
Noun,kitchen,廚房,The kitchen is where we cook delicious meals.
Noun,knife,刀子,Dad uses a knife to cut the bread.
Noun,napkin,餐巾,I wipe my mouth with a soft napkin.
Noun,oven,烤箱,The oven bakes bread that smells so good.
Noun,plate,盤子,My plate looks like a round moon.
Verb,pour,倒,I pour milk into my glass very carefully.
Noun,recipe,食譜,We follow the recipe to make chocolate cake.
Noun,refrigerator,冰箱,The refrigerator keeps our food fresh and cold.
Noun,spoon,湯匙,I eat soup with my shiny spoon.
Verb,stir,攪拌,I stir the soup with a big wooden spoon.
Noun,stove,爐子,Be careful near the hot stove when cooking.
Noun,straw,吸管,I drink juice through a bendy fun straw.
=== 9. 衣物 ===,,,
Noun,coat,外套,My coat keeps me warm in winter.
Noun,dress,洋裝/裙子,Her dress spins when she dances fast.
Noun,hat,帽子,My hat has a big smiling face.
Noun,pajamas,睡衣,I put on my soft pajamas before bed.
Noun,pants,褲子,My pants have deep pockets for things.
Verb Phrase,put on,穿上/戴上,I put on my cape to fly.
Noun,shirt,襯衫/上衣,My shirt has a red shiny star.
Noun,shoe,鞋子,My shoe lights blink when I run fast.
Noun,slippers,拖鞋,My fuzzy slippers keep my feet warm inside.
Noun,socks,襪子,My socks have stripes on them today.
Verb Phrase,take off,脫下/拿下,I take off my muddy boots fast.
Verb,wear,穿著/戴著,I wear a crown to feel special.
=== 60. 核心常用字 ===,,,
Adjective,cute,可愛的,The cute puppy winks like a tiny star.
Adjective,nice,親切的/好的,A nice word is like warm sunshine.
Adjective,afraid,害怕的,I feel afraid in the dark but I hold your hand.
Adjective,careful,小心的,Be careful on the steps like a slow turtle.
Interjection,okay,好的,"Okay, let's clean up and then play again."
Noun,puppy,小狗,The puppy chases his tail like a silly wheel.
Noun,kitten,小貓,The kitten bats the yarn like a tiny tiger.
Noun,toothbrush,牙刷,My blue toothbrush tickles my teeth awake.
Noun,toothpaste,牙膏,A pea of toothpaste makes my smile shine.
Noun,block,積木,One block on another makes a tall tower.
Noun,bedtime,睡覺時間,At bedtime the moon reads me a story.
Noun,teddy bear,泰迪熊,My teddy bear guards my dreams at night.
Noun,boots,靴子,My boots splash big puddles like jumping frogs.
Verb,chase,追逐,We chase bubbles that run away laughing.
Preposition,next to,在...旁邊,I sit next to you on the bus.
Number,eleven,十一,Eleven stars twinkle above our house.
Determiner,another,另一個,I choose another book for story time.
